City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,muynoq,43.7683,59.0214,64.92,61,19,7.92,UZ,1716857300
312,benjamin hill,30.1667,-111.1,94.53,5,0,15.77,MX,1716857301
313,vernon,50.2581,-119.2691,73.24,36,100,3.44,CA,1716857230
314,kayangel,8.0823,134.7173,84.07,79,10,15.88,PW,1716857303
315,winnemucca,40.973,-117.7357,84.25,13,0,3.44,US,1716857304
316,kristiansund,63.1115,7.732,59.05,88,100,19.57,NO,1716857305
317,kostomuksha,64.571,30.5767,57.04,73,40,5.01,RU,1716857306
318,kamuli,0.9472,33.1197,65.23,91,20,2.35,UG,1716857308
319,ubari,26.5921,12.7805,76.78,21,0,9.62,LY,1716857309
320,maxixe,-23.8597,35.3472,66.29,85,0,7.29,MZ,1716857310
321,tabou,4.423,-7.3528,79.5,77,26,5.5,CI,1716857311
322,ranot,7.7777,100.3213,86.5,71,100,8.21,TH,1716857312
323,ghat,24.9647,10.1728,82.11,27,0,0.54,LY,1716857313
324,vizinga,61.0749,50.1031,50.85,76,35,5.48,RU,1716857314
325,zhanaozen,43.3,52.8,64.36,36,7,14.34,KZ,1716857315
326,greymouth,-42.4667,171.2,52.54,74,46,2.51,NZ,1716857260
327,kalabagh,32.965,71.557,92.3,11,0,4.54,PK,1716857318
328,manokwari,-0.8667,134.0833,83.82,68,33,4.45,ID,1716857319
329,chonglong,29.7806,104.8522,74.53,88,100,2.48,CN,1716857321
330,novodvinsk,64.4165,40.8122,47.79,81,40,7.96,RU,1716857322
331,tolanaro,-25.0319,46.9987,64.47,94,20,4.61,MG,1716857323
332,avare,-23.0986,-48.9258,60.69,97,10,6.13,BR,1716857324
333,dhuusamarreeb,5.535,46.3861,77.67,63,100,20.49,SO,1716857326
334,oriximina,-1.7656,-55.8661,76.71,95,100,2.42,BR,1716857145
335,vallenar,-28.5708,-70.7581,62.4,32,0,0.47,CL,1716857328
336,shingu,33.7333,135.9833,69.82,95,100,6.13,JP,1716857329
337,hammerfest,70.6634,23.6821,45.05,87,20,6.91,NO,1716857330
338,mata-utu,-13.2816,-176.1745,84.16,81,41,10.16,WF,1716857331
339,lagunas,-5.2269,-75.6753,76.28,83,100,3.06,PE,1716857332
340,steinbach,50.1667,8.5667,55.87,82,0,6.91,DE,1716857334
341,alofi,-19.0595,-169.9187,84.09,89,75,8.05,NU,1716857335
342,keminmaa,65.8596,24.8228,49.77,81,0,6.91,FI,1716857336
343,fraserburgh,57.6874,-2.0184,53.11,92,77,6.6,GB,1716857337
344,cidreira,-30.1811,-50.2056,57.65,90,100,20.27,BR,1716857338
345,usinsk,65.9939,57.5281,28.08,78,79,21.0,RU,1716857339
346,new plymouth,-39.0667,174.0833,52.32,78,92,14.7,NZ,1716857254
347,laguna,38.421,-121.4238,89.55,34,0,10.36,US,1716857341
348,guayaramerin,-10.8368,-65.3614,68.54,78,0,3.44,BO,1716857343
349,dryden,49.7833,-92.7503,57.49,51,75,6.91,CA,1716857344
350,hashtrud,37.4779,47.0508,55.18,67,100,2.26,IR,1716857345
351,shenkursk,62.1091,42.896,49.91,68,15,5.79,RU,1716857346
352,revda,56.801,59.9303,47.64,78,100,15.26,RU,1716857347
353,pljevlja,43.3333,19.3333,49.42,69,93,2.57,ME,1716857348
354,port hedland,-20.3167,118.5667,80.65,32,28,9.22,AU,1716857349
355,tan-tan,28.438,-11.1032,61.9,91,35,12.95,MA,1716857352
356,surin,14.8818,103.4936,82.78,55,100,11.34,TH,1716857353
357,puerto deseado,-47.7503,-65.8938,42.04,78,27,12.97,AR,1716857354
358,sitangkai,4.6628,119.3928,84.02,75,100,7.87,PH,1716857355
359,jerseyville,39.12,-90.3285,72.46,85,22,7.78,US,1716857356
360,dalandzadgad,43.5708,104.425,70.84,29,100,6.64,MN,1716857357
361,ust-nera,64.5667,143.2,61.47,31,65,4.83,RU,1716857358
362,marsh harbour,26.5412,-77.0636,80.55,77,12,11.1,BS,1716857031
363,la crosse,43.8014,-91.2396,57.76,88,75,4.61,US,1716857361
364,rio grande,-32.035,-52.0986,59.11,94,100,17.4,BR,1716857362
365,longonjo,-12.9067,15.2533,56.79,57,7,2.39,AO,1716857363
366,carutapera,-1.195,-46.02,77.13,91,0,5.57,BR,1716857364
367,nogliki,51.8333,143.1667,39.34,94,100,21.99,RU,1716857365
368,baiyin,36.5583,104.2081,68.5,54,92,8.05,CN,1716857367
